Assignee,Prompt,Verification,Function Written,Proved Solvable,Notes,,,
Alan,"Navigate to the 'Code Examples Repository' page. Locate the 'Python Examples' section. Insert a new heading_2 block with text 'Ruby Examples' immediately AFTER the paragraph 'Common python pattern for production code.' but BEFORE the 'Typescript Examples' heading. Under this Ruby heading, add a code block with language 'ruby' containing exactly: 'class Calculator\n def self.fibonacci(n)\n return n if n <= 1\n fibonacci(n - 1) + fibonacci(n - 2)\n end\nend\n\nputs Calculator.fibonacci(10)'. Then add a paragraph with text 'Common ruby pattern for production code.' matching the exact format of other language sections. Finally, at the very end of the page (after the Java section), add a heading_2 '📊 Language Statistics' followed by a callout with gray background containing a paragraph 'Total programming languages covered: 9' (counting the newly added Ruby).",Verify Ruby Examples heading_2 appears exactly after the Python section's description paragraph and before Typescript Examples. Confirm the ruby code block has correct language property and exact content with proper line breaks. Check that the description paragraph matches the format of other sections. Verify the Language Statistics section is at the very end with gray callout containing accurate count.,✅,✅,MCP use is very inefficient because of limitations with ordering,,,
Alan,"In the 'Project Guidelines & Best Practices' page, analyze the pattern of existing callout blocks. Insert a new sequence of exactly 5 callout blocks immediately AFTER the callout with text 'Best Practice: Use TypeScript strict mode for all new files.' but BEFORE the next 'Note:' callout. These new callouts must follow this exact sequence: 1) Purple background, target icon (🎯), text 'Objective: Achieve 90% code coverage in all modules', 2) Pink background, test tube icon (🧪), text 'Testing: Run integration tests before every PR merge', 3) Brown background, book icon (📚), text 'Documentation: Update README files for all API changes', 4) Gray background, gear icon (⚙️), text 'Configuration: Use environment variables for all secrets', 5) Blue background, link icon (🔗), text 'Dependencies: Review and update packages monthly'. After adding these, count the total number of callout blocks on the entire page and add a new heading2 at the very end with text '📊 Guideline Statistics', followed by a paragraph with exact text 'Total guidelines: [X] callouts across [Y] categories' where X is the total count and Y is the number of unique background colors used.","Five new callout blocks appear in exact sequence after the TypeScript callout but before the next Note callout, each with specified background color, icon, and text. A new heading2 '📊 Guideline Statistics' appears at page end with a paragraph showing accurate total callout count and unique background color count.",✅,✅,one shot,,,
Alan,"Navigate to the 'Code Examples Repository' page and add a new programming language section. Insert a heading_2 block with text 'Java Examples' immediately AFTER the 'Go Examples' code block (block-20-18) but BEFORE the 'Rust Examples' heading. Under this new heading, add a code block with language property set to 'java' containing exactly: 'public class HelloWorld { public static void main(String[] args) { System.out.println(""Hello, Notion!""); List<String> items = Arrays.asList(""Code"", ""Test"", ""Deploy""); items.forEach(System.out::println); } }'. Then add a paragraph block with text 'Common java pattern for production code.' matching the exact format of other language sections. Finally, count all code blocks on the page and add a callout with yellow_background and '📊' icon at the very top (after the main heading) containing 'This repository contains [X] code examples across [Y] programming languages.'","Verify that: 1) 'Java Examples' heading_2 appears between Go code block and Rust Examples heading, 2) Java code block has correct language property and exact code content with proper formatting, 3) Paragraph matches pattern 'Common java pattern for production code.', 4) Yellow callout at top shows correct counts (8 code examples, 8 languages)",✅,✅,3 attempts incl giving ruby success trace as context,,,
Alan,"Create a new page titled 'Project Metrics Dashboard' with icon '📊' as a child of the 'Project Documentation' page. First, fetch the 'Project Roadmap' page and all its sub-pages (Q1 Goals and Q2 Goals). Count all the to-do blocks across these pages. Structure the new page as follows: Add a heading1 block with text '📊 Project Metrics Dashboard', then a callout block with Blue background and '📈' icon containing the text 'Real-time project health metrics and progress tracking'. Add a heading2 block with text '🎯 Goals Overview', followed by a paragraph with exact text 'Total project goals across all quarters: [NUMBER]' where [NUMBER] is the count of all to-do blocks found. For Q1 Goals, create a heading3 block with text '📅 Q1 2024 Progress', then a bulleted list showing 'Completed: [X] tasks' (count of checked todos), 'In Progress: [Y] tasks' (count of unchecked todos), 'Completion Rate: [Z]%' (calculate percentage). Repeat the same structure for Q2 Goals with heading3 '📅 Q2 2024 Progress'. Finally, add a divider block followed by a quote block with text 'Data aggregated from Project Roadmap sub-pages' in italic formatting.","The page must be a child of 'Project Documentation' with exact title and icon. The counts must be accurate: total todos across both Q1 and Q2 pages, separate completed/in-progress counts for each quarter, and correct percentage calculations. The heading hierarchy must be heading1 → heading2 → heading3. The callout must have Blue background with '📈' icon. The quote block at the end must have italic formatting.",✅,✅,Needed extra prompting to italicise with * (not defined anywhere for mcp to know),,,
Alan,"Navigate to the 'Sprint Planning - Jan 15' page. Locate the 'Action Items' section and insert a new date section immediately AFTER the existing to-do blocks but BEFORE any content that follows. Add a heading_2 block with exact text 'Follow-up Tasks - Jan 22' using the same formatting style. Directly beneath this heading, add exactly five unchecked to-do blocks with these exact texts: '📋 Review sprint retrospective feedback', '🔍 Analyze velocity metrics from current sprint', '💬 Schedule 1:1s with team members', '🎯 Update roadmap based on completed items', '⚡ Prepare demo for stakeholder review'. Then add a divider block after the last to-do item.","Check that the new 'Follow-up Tasks - Jan 22' heading_2 block appears immediately after block-3-1-12 (the last existing to-do). Verify all five to-do blocks are present with exact text including emojis, all unchecked. Confirm divider block is placed after the new to-dos.",✅,✅,1 shot,,,
Alan,"On the 'Company Handbook' page, perform a complex reorganization. First, swap the complete 'Our Values' section with the 'Benefits' section, preserving all content. Then, between the newly positioned 'Benefits' section and 'Work Policies' section, insert a new heading_2 '🌟 Employee Resources'. Under this, create two callout blocks side by side (if possible, otherwise sequential): first with green_background and icon '📚' containing 'Learning & Development: Access our learning portal for courses and certifications', second with purple_background and icon '💬' containing 'Employee Support: Contact HR at hr@company.com for assistance'. Finally, in the 'Work Policies' section, add a new heading_3 '🏖️ Sabbatical Policy' immediately after the 'Time Off' subsection with a paragraph 'Employees with 5+ years tenure are eligible for a 4-week paid sabbatical.'","Verify 'Benefits' section (heading_2 and 4 numbered lists) now appears where 'Our Values' was. Confirm 'Our Values' section is now positioned before the handbook ends. Check new 'Employee Resources' section exists between Benefits and Work Policies with two callouts having exact colors, icons, and text. Validate new Sabbatical Policy subsection appears after Time Off within Work Policies.",✅,✅,2 tap,,,
Alan,"On the 'External Resources & Links' page, completely reorganize the structure. First, swap the positions of the 'Tools' section (including all its bookmark blocks) with the 'Learning' section. Then create a 2-column layout where 'Documentation' goes on the left and the newly positioned 'Tools' section on the right. Below the columns, add a toggle block with exact text '📁 Additional Resources' containing the original 'Learning' section bookmarks. Finally, add two new bookmark blocks in the Tools column: one for 'https://notion.so' with caption 'Notion API docs' and another for 'https://figma.com' with caption 'Design collaboration'.",Verify Tools and Learning sections have swapped positions entirely. Confirm 2-column layout with Documentation left and Tools right. Check toggle block contains all Learning bookmarks. Verify new Notion and Figma bookmarks exist in Tools column with exact URLs and captions.,✅,❌,toggle block,,,
Alan,"Navigate to the 'Weekly Standup Template' page. Add a new date section immediately AFTER the 'This Week' heading (block containing 'This Week') but BEFORE the first to-do item (block containing 'Start working on feature Y'). The new date section must have a heading_2 block with text '**Friday, January 5, 2024**' with bold styling matching existing date formats. Directly beneath this, add exactly four unchecked to-do blocks with these exact texts: '🔧 Fix critical bug in authentication flow', '📝 Update API documentation for v2.1', '🚀 Deploy hotfix to staging environment', '💬 Sync with design team on new mockups'. After these todos, add a divider block, then a callout block with blue background and '📌' icon containing text 'Remember to update the sprint board after completing tasks'.","The agent must: 1) Insert the new heading_2 '**Friday, January 5, 2024**' at exactly order position 3 (after 'This Week' heading but before first todo), 2) Add four unchecked to-do blocks at positions 4-7 with exact emoji prefixes and text, 3) Add divider at position 8, 4) Add blue callout with '📌' icon at position 9 with exact reminder text, 5) All subsequent blocks must have their order incremented appropriately",✅,✅,,,,
Alan,"On the 'Feature Requests' page, implement a priority-based reorganization system. First, analyze all to-do blocks and identify which are checked vs unchecked. Then: 1) Add a heading_2 '🚦 Priority Matrix' immediately after the main title but before any existing content, 2) Create three heading_3 subsections: '🔴 Critical (Completed)', '🟡 In Progress', '🟢 Backlog', 3) Move all checked to-do items under 'Critical (Completed)' section, preserving their text but converting them to bulletedList blocks with strikethrough formatting, 4) Move any unchecked todos containing 'keyboard' or 'export' to 'In Progress' section as todo blocks, 5) Move remaining unchecked todos to 'Backlog' section, 6) After each section, add a paragraph with gray text color showing 'Items: [X] | Effort points: [X*3]' (multiply count by 3), 7) At the end, add a callout with blue_background and '📈' icon: 'Velocity: [Y] effort points completed this cycle' where Y = checked items * 3.","Priority Matrix must be inserted after title, before existing content. Checked item 'Dark mode support' moves to Critical as strikethrough bulletedList. 'Keyboard shortcuts customization' and 'Export to PDF functionality' move to In Progress as todos. Each section must have gray paragraph with counts. Final velocity callout must calculate 1*3=3 effort points.",✅,❌,"strike through not done, paragraph colour not done",,,
Alan,"Create a comprehensive 'Engineering Metrics Dashboard' page as a child of 'Engineering Wiki'. Analyze the 'Bug Tracker', 'Q1 Goals', and 'Q2 Goals' pages. Structure with: heading_1 '🎯 Engineering Metrics Dashboard', heading_2 '📊 Q1-Q2 Performance Overview'. Add a callout (Yellow background) with heading_3 'Quarterly Objectives' containing exact text 'Q1: [X] of [Y] completed ([Z]%)', 'Q2: [X] of [Y] completed ([Z]%)'. Then heading_2 '🐛 Bug Resolution Metrics' with a table-like structure using bulletedList blocks showing each bug priority level. End with a toggle '📈 Detailed Analytics' containing a code block (language: json) with exact JSON: '{""avgResolutionRate"": [X], ""criticalBugsOpen"": [Y], ""quarterlyVelocity"": [Z]}'.","Page exists under Engineering Wiki. Yellow callout shows Q1: 2 of 3 (66.7%), Q2: 0 of 2 (0%). Bug metrics show all three priority levels with counts. JSON code block contains avgResolutionRate: 0.4, criticalBugsOpen: 1, quarterlyVelocity: 2. Exact formatting and structure verified.",✅,❌,toggle,,,
